ranges,intensities,ray_angle
0.8450000286102295,371.0,-180.00000500901186
0.843999981880188,374.0,-179.9286050062032
0.8299999833106995,369.0,-179.85720500339454
0.8450000286102295,369.0,-179.78580500058587
0.8330000042915344,372.0,-179.71440499777722
0.8460000157356262,371.0,-179.64300499496855
0.8349999785423279,372.0,-179.57160499215988
0.8220000267028809,374.0,-179.5002049893512
0.8550000190734863,371.0,-179.42880498654256
0.8299999833106995,371.0,-179.3574049837339
0.8489999771118164,367.0,-179.2860049809252
0.8320000171661377,367.0,-179.21460497811657
0.8169999718666077,370.0,-179.1432049753079
0.8349999785423279,368.0,-179.07180497249922
0.8410000205039978,372.0,-179.00040496969055
0.8330000042915344,373.0,-178.9290049668819
0.8519999980926514,371.0,-178.85760496407323
0.8370000123977661,370.0,-178.78620496126456
0.8130000233650208,368.0,-178.7148049584559
0.8429999947547913,368.0,-178.64340495564724
0.8339999914169312,371.0,-178.57200495283857
0.8560000061988831,373.0,-178.5006049500299
0.8270000219345093,373.0,-178.42920494722125
0.8539999723434448,371.0,-178.35780494441258
0.8420000076293945,371.0,-178.2864049416039
0.8320000171661377,368.0,-178.21500493879523
0.8389999866485596,370.0,-178.1436049359866
0.8579999804496765,369.0,-178.07220493317791
0.8370000123977661,371.0,-178.00080493036924
0.8399999737739563,370.0,-177.92940492756057
0.8330000042915344,374.0,-177.85800492475192
0.8420000076293945,372.0,-177.78660492194325
0.8539999723434448,368.0,-177.71520491913458
0.8420000076293945,371.0,-177.64380491632593
0.8529999852180481,370.0,-177.57240491351726
0.8209999799728394,367.0,-177.5010049107086
0.8320000171661377,368.0,-177.42960490789991
0.8299999833106995,370.0,-177.35820490509127
0.8230000138282776,373.0,-177.2868049022826
0.8379999995231628,370.0,-177.21540489947392
0.8399999737739563,370.0,-177.14400489666525
0.843999981880188,369.0,-177.0726048938566
0.8360000252723694,369.0,-177.00120489104793
0.8299999833106995,368.0,-176.92980488823926
0.8569999933242798,368.0,-176.85840488543062
0.8069999814033508,375.0,-176.78700488262194
0.8650000095367432,367.0,-176.71560487981327
0.8410000205039978,369.0,-176.6442048770046
0.8460000157356262,371.0,-176.57280487419595
0.824999988079071,370.0,-176.50140487138728
0.8420000076293945,370.0,-176.4300048685786
0.8510000109672546,373.0,-176.35860486576993
0.8119999766349792,375.0,-176.2872048629613
0.8399999737739563,369.0,-176.21580486015262
0.8330000042915344,368.0,-176.14440485734394
0.859000027179718,365.0,-176.0730048545353
0.8360000252723694,372.0,-176.00160485172663
0.8399999737739563,372.0,-175.93020484891795
0.8339999914169312,370.0,-175.85880484610928
0.8370000123977661,370.0,-175.78740484330064
0.8379999995231628,370.0,-175.71600484049196
0.8360000252723694,370.0,-175.6446048376833
0.8460000157356262,373.0,-175.57320483487464
0.8500000238418579,371.0,-175.50180483206597
0.8399999737739563,368.0,-175.4304048292573
0.8489999771118164,367.0,-175.35900482644863
0.8420000076293945,371.0,-175.28760482363998
0.8389999866485596,374.0,-175.2162048208313
0.8270000219345093,372.0,-175.14480481802264
0.843999981880188,372.0,-175.07340481521396
0.8500000238418579,370.0,-175.00200481240532
0.8519999980926514,368.0,-174.93060480959664
0.847000002861023,369.0,-174.85920480678797
0.8410000205039978,373.0,-174.78780480397933
0.8370000123977661,375.0,-174.71640480117065
0.8519999980926514,366.0,-174.64500479836198
0.8560000061988831,356.0,-174.5736047955533
0.8339999914169312,350.0,-174.50220479274466
0.8600000143051147,351.0,-174.430804789936
0.8370000123977661,358.0,-174.35940478712732
0.8420000076293945,346.0,-174.28800478431864
0.8500000238418579,332.0,-174.21660478151
0.8429999947547913,331.0,-174.14520477870133
0.8519999980926514,327.0,-174.07380477589265
0.8270000219345093,310.0,-174.002404773084
0.8700000047683716,278.0,-173.93100477027534
0.8569999933242798,257.0,-173.85960476746666
0.8579999804496765,287.0,-173.788204764658
0.8569999933242798,306.0,-173.71680476184935
0.8610000014305115,311.0,-173.64540475904067
0.8579999804496765,313.0,-173.574004756232
0.8529999852180481,314.0,-173.50260475342333
0.8410000205039978,321.0,-173.43120475061468
0.8349999785423279,322.0,-173.359804747806
0.8690000176429749,320.0,-173.28840474499734
0.8510000109672546,327.0,-173.2170047421887
0.8519999980926514,338.0,-173.14560473938002
0.8429999947547913,356.0,-173.07420473657135
0.8429999947547913,365.0,-173.00280473376267
0.8510000109672546,369.0,-172.93140473095403
0.8460000157356262,367.0,-172.86000472814536
0.8389999866485596,371.0,-172.78860472533668
0.8410000205039978,373.0,-172.717204722528
0.8539999723434448,372.0,-172.64580471971937
0.8579999804496765,371.0,-172.5744047169107
0.8399999737739563,373.0,-172.50300471410202
0.8510000109672546,373.0,-172.43160471129337
0.8399999737739563,374.0,-172.3602047084847
