ranges,intensities,ray_angle
0.8450000286102295,372.0,-3.1415927410125732
0.8240000009536743,374.0,-3.140346575877629
0.8289999961853027,372.0,-3.139100410742685
0.8410000205039978,371.0,-3.137854245607741
0.8220000267028809,372.0,-3.136608080472797
0.8309999704360962,374.0,-3.135361915337853
0.8259999752044678,373.0,-3.134115750202909
0.8510000109672546,372.0,-3.132869585067965
0.8259999752044678,374.0,-3.131623419933021
0.8220000267028809,373.0,-3.130377254798077
0.8349999785423279,374.0,-3.129131089663133
0.843999981880188,373.0,-3.127884924528189
0.8460000157356262,369.0,-3.126638759393245
0.8339999914169312,372.0,-3.125392594258301
0.828000009059906,374.0,-3.124146429123357
0.8479999899864197,370.0,-3.122900263988413
0.8100000023841858,370.0,-3.121654098853469
0.8519999980926514,365.0,-3.120407933718525
0.8389999866485596,370.0,-3.119161768583581
0.8209999799728394,373.0,-3.117915603448637
0.8330000042915344,375.0,-3.116669438313693
0.8360000252723694,374.0,-3.115423273178749
0.8190000057220459,373.0,-3.1141771080438048
0.8429999947547913,372.0,-3.1129309429088607
0.8299999833106995,372.0,-3.1116847777739167
0.8450000286102295,368.0,-3.1104386126389727
0.843999981880188,373.0,-3.1091924475040287
0.8349999785423279,373.0,-3.1079462823690847
0.843999981880188,374.0,-3.1067001172341406
0.8550000190734863,369.0,-3.1054539520991966
0.8130000233650208,374.0,-3.1042077869642526
0.8230000138282776,374.0,-3.1029616218293086
0.8330000042915344,371.0,-3.1017154566943645
0.8420000076293945,371.0,-3.1004692915594205
0.8339999914169312,372.0,-3.0992231264244765
0.8510000109672546,373.0,-3.0979769612895325
0.8370000123977661,371.0,-3.0967307961545885
0.8289999961853027,370.0,-3.0954846310196444
0.8500000238418579,370.0,-3.0942384658847004
0.8529999852180481,369.0,-3.0929923007497564
0.8389999866485596,370.0,-3.0917461356148124
0.8479999899864197,369.0,-3.0904999704798684
0.8349999785423279,368.0,-3.0892538053449243
0.8460000157356262,370.0,-3.0880076402099803
0.8569999933242798,370.0,-3.0867614750750363
0.8389999866485596,372.0,-3.0855153099400923
0.8389999866485596,371.0,-3.0842691448051482
0.8450000286102295,370.0,-3.0830229796702042
0.8349999785423279,372.0,-3.08177681453526
0.8360000252723694,373.0,-3.080530649400316
0.8339999914169312,374.0,-3.079284484265372
0.8489999771118164,374.0,-3.078038319130428
0.8360000252723694,371.0,-3.076792153995484
0.8519999980926514,370.0,-3.07554598886054
0.8339999914169312,374.0,-3.074299823725596
0.8399999737739563,372.0,-3.073053658590652
0.8510000109672546,369.0,-3.071807493455708
0.843999981880188,371.0,-3.070561328320764
0.8320000171661377,374.0,-3.06931516318582
0.8429999947547913,372.0,-3.068068998050876
0.8270000219345093,370.0,-3.066822832915932
0.8230000138282776,373.0,-3.065576667780988
0.8410000205039978,372.0,-3.064330502646044
0.8330000042915344,372.0,-3.0630843375111
0.8519999980926514,370.0,-3.061838172376156
0.847000002861023,368.0,-3.060592007241212
0.8389999866485596,373.0,-3.059345842106268
0.8420000076293945,375.0,-3.058099676971324
0.8240000009536743,374.0,-3.0568535118363798
0.8539999723434448,369.0,-3.0556073467014357
0.843999981880188,369.0,-3.0543611815664917
0.8429999947547913,371.0,-3.0531150164315477
0.8569999933242798,370.0,-3.0518688512966037
0.8420000076293945,374.0,-3.0506226861616597
0.847000002861023,374.0,-3.0493765210267156
0.8389999866485596,371.0,-3.0481303558917716
0.8640000224113464,368.0,-3.0468841907568276
0.8410000205039978,373.0,-3.0456380256218836
0.847000002861023,374.0,-3.0443918604869395
0.8339999914169312,375.0,-3.0431456953519955
0.8320000171661377,373.0,-3.0418995302170515
0.843999981880188,368.0,-3.0406533650821075
0.8500000238418579,356.0,-3.0394071999471635
0.8379999995231628,348.0,-3.0381610348122194
0.8479999899864197,355.0,-3.0369148696772754
0.8389999866485596,359.0,-3.0356687045423314
0.8360000252723694,345.0,-3.0344225394073874
0.8460000157356262,333.0,-3.0331763742724434
0.8370000123977661,334.0,-3.0319302091374993
0.8460000157356262,323.0,-3.0306840440025553
0.8519999980926514,308.0,-3.0294378788676113
0.8640000224113464,273.0,-3.0281917137326673
0.8610000014305115,265.0,-3.0269455485977232
0.8569999933242798,297.0,-3.0256993834627792
0.8709999918937683,312.0,-3.024453218327835
